INCIDENT_NUMBER,OFFENSE_DESCRIPTION,SHOOTING,OCCURRED_ON_DATE,DAY_OF_WEEK,HOUR,STREET
I20219259,LARCENY ALL OTHERS,0,2020-03-10 11:49:00,Tuesday,11,BOWDOIN ST
I20219259,LARCENY ALL OTHERS,0,2020-03-10 11:49:00,Tuesday,11,BOWDOIN ST
I20219259,LARCENY ALL OTHERS,0,2020-03-10 11:49:00,Tuesday,11,BOWDOIN ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203469,TOWED MOTOR VEHICLE,0,2020-03-28 00:00:00,Saturday,0,TREMONT ST
I20203113,ASSAULT - SIMPLE,0,2020-03-25 22:00:00,Wednesday,22,BLUE HILL AVE
I20203113,ASSAULT - SIMPLE,0,2020-03-25 22:00:00,Wednesday,22,BLUE HILL AVE
I20203113,ASSAULT - SIMPLE,0,2020-03-25 22:00:00,Wednesday,22,BLUE HILL AVE
I20203113,ASSAULT - SIMPLE,0,2020-03-25 22:00:00,Wednesday,22,BLUE HILL AVE
I20203113,ASSAULT - SIMPLE,0,2020-03-25 22:00:00,Wednesday,22,BLUE HILL AVE
I20203113,ASSAULT - SIMPLE,0,2020-03-25 22:00:00,Wednesday,22,BLUE HILL AVE
I20201723,VAL - OPERATING AFTER REV/SUSP.,0,2020-03-03 10:33:00,Tuesday,10,WASHINGTON ST
I20201723,VAL - OPERATING AFTER REV/SUSP.,0,2020-03-03 10:33:00,Tuesday,10,WASHINGTON ST
I20201723,VAL - OPERATING AFTER REV/SUSP.,0,2020-03-03 10:33:00,Tuesday,10,WASHINGTON ST
I20201723,VAL - OPERATING AFTER REV/SUSP.,0,2020-03-03 10:33:00,Tuesday,10,WASHINGTON ST
I20201723,VAL - OPERATING AFTER REV/SUSP.,0,2020-03-03 10:33:00,Tuesday,10,WASHINGTON ST
I20201619,SICK/INJURED/MEDICAL - POLICE,0,2020-03-19 21:00:00,Thursday,21,HANCOCK ST
302024360,MISSING PERSON - LOCATED,0,2020-03-31 14:00:00,Tuesday,14,TAUNTON AVE
302024360,MISSING PERSON - LOCATED,0,2020-03-31 14:00:00,Tuesday,14,TAUNTON AVE
212002784,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-01 15:03:00,Sunday,15,LIBERTY DR
212002583,LARCENY ALL OTHERS,0,2020-03-01 00:00:00,Sunday,0,GIBSON ST
212002049,INVESTIGATE PERSON,0,2020-03-01 00:00:00,Sunday,0,WALES ST
212002049,INVESTIGATE PERSON,0,2020-03-01 00:00:00,Sunday,0,WALES ST
212001930,HARASSMENT/ CRIMINAL HARASSMENT,0,2020-03-21 10:00:00,Saturday,10,BLUE HILL AVE
212001930,THREATS TO DO BODILY HARM,0,2020-03-21 10:00:00,Saturday,10,BLUE HILL AVE
212000823,M/V PLATES - LOST,0,2020-03-20 09:00:00,Friday,9,SAINT ROSE ST
207201867,SICK/INJURED/MEDICAL - PERSON,0,2020-03-09 00:00:00,Monday,0,DORCHESTER AVE
